,year,banking,valuation,household,real estate,corporate,external,sovereign,technology,climate,energy,health,eu
0,1997.0,0.09893903136253357,0.12356492877006531,0.0405476950109005,0.038509536534547806,0.053655724972486496,0.1552228033542633,0.2705654799938202,0.054658904671669006,0.03773924335837364,0.04573848098516464,0.02378261089324951,0.057075582444667816
1,1997.25,0.15787191689014435,0.1078956350684166,0.01619974710047245,0.028247112408280373,0.03366011753678322,0.15419019758701324,0.3448491096496582,0.03670715168118477,0.030440175905823708,0.029765868559479713,0.014129341579973698,0.046043600887060165
2,1997.5,0.17679330706596375,0.10511063039302826,0.024482756853103638,0.028678882867097855,0.015188534744083881,0.16926784813404083,0.29074543714523315,0.05418868362903595,0.031270988285541534,0.023343145847320557,0.016994744539260864,0.06393501162528992
3,1997.75,0.12819507718086243,0.12736599147319794,0.019576210528612137,0.019894586876034737,0.02435077540576458,0.1587154120206833,0.3541581332683563,0.03595668449997902,0.030377311632037163,0.025474674999713898,0.010869830846786499,0.06506533920764923
4,1998.0,0.1356249749660492,0.11297579854726791,0.019101737067103386,0.01846885122358799,0.020788464695215225,0.17816397547721863,0.34987297654151917,0.028756657615303993,0.019201066344976425,0.01939295046031475,0.009328274056315422,0.08832430839538574
5,1998.25,0.13212986290454865,0.09010151773691177,0.028580840677022934,0.025430602952837944,0.03490706905722618,0.10937269032001495,0.30868953466415405,0.05384473502635956,0.040032580494880676,0.039847299456596375,0.009149659425020218,0.12791362404823303
6,1998.5,0.20110055804252625,0.07772091031074524,0.012059340253472328,0.03406897187232971,0.04743775725364685,0.16827382147312164,0.2741563022136688,0.04858620464801788,0.044527966529130936,0.03430084511637688,0.016841629520058632,0.04092569276690483
7,1998.75,0.13554798066616058,0.1420752853155136,0.02585429511964321,0.0427054688334465,0.019795306026935577,0.1676677018404007,0.2946860194206238,0.03420999273657799,0.02787935733795166,0.02683430351316929,0.013200903311371803,0.06954336911439896
8,1999.0,0.13123832643032074,0.1259523332118988,0.02553071454167366,0.028314542025327682,0.0208986084908247,0.18380782008171082,0.302482545375824,0.03576219826936722,0.028043264523148537,0.02724461629986763,0.016835931688547134,0.07388915121555328
9,1999.25,0.13154710829257965,0.13441956043243408,0.026515904814004898,0.025670329108834267,0.03615174815058708,0.14796747267246246,0.2717617452144623,0.052183326333761215,0.03793897107243538,0.03431384637951851,0.022156916558742523,0.07937305420637131
10,1999.5,0.11985346674919128,0.13880401849746704,0.024366065859794617,0.023178717121481895,0.026997653767466545,0.18145516514778137,0.2670356333255768,0.0438266359269619,0.0289397444576025,0.028696950525045395,0.020996935665607452,0.09584899246692657
11,1999.75,0.12445541471242905,0.13175055384635925,0.02522507682442665,0.03517927601933479,0.026148997247219086,0.16991300880908966,0.28525474667549133,0.04559256508946419,0.030912376940250397,0.028717193752527237,0.018003832548856735,0.07884690165519714
