,Unnamed: 0,date,speakers,title,subtitle,mean,std,pos_mean,pos_std,neu_mean,neu_std,neg_mean,neg_std,pos_np,neu_np,neg_np
10,13,2021-03-27,Philip R. Lane,Stabilising the economic outlook,"Remarks by Philip R. Lane, Member of the Executive Board of the ECB, at “The Outlook for the Economy and Finance” workshop (fully digital) organised by The European House − Ambrosetti ",-0.3352065271465108,0.6211836697506988,0.1853831979678943,0.2228806068693703,0.294027087977156,0.2387321037572406,0.5205897251144052,0.4144337301691553,"[0.27263173 0.01593591 0.00959742 0.04453196 0.05637398 0.0090666
 0.62316412 0.45176387]","[0.71153367 0.06398884 0.02007383 0.40451562 0.2281549  0.02237953
 0.36658609 0.53498423]","[0.01583458 0.92007518 0.97032869 0.55095243 0.71547115 0.96855396
 0.01024984 0.01325197]"
11,14,2021-03-25,Isabel Schnabel,Paving the path to recovery by preserving favourable financing conditions ,"Speech by Isabel Schnabel, Member of the Executive Board of the ECB, at NYU Stern Fireside Chat",-0.0685528210829943,0.5367671309836989,0.2769396395189687,0.2594539577348501,0.377567891869694,0.3116772015125646,0.3454924606019631,0.353997822759675,"[0.54241776 0.4564105  0.64398706 0.21581602 0.03121703 0.72803915
 0.00757621 0.02094198 0.19360642 0.1781213  0.15996931 0.02100356
 0.06668489 0.02516015 0.56529218 0.16509081 0.07130705 0.05084381
 0.2832737  0.07119158 0.03955684 0.52933031 0.12518252 0.0581152
 0.38161778 0.06319438 0.28459436 0.06443505 0.94199991 0.62686455
 0.07050405 0.54771549 0.07940333 0.07110472 0.25264338 0.58573514
 0.8115806  0.38034984 0.61656082 0.04914682]","[0.18040577 0.46889502 0.09873309 0.08345837 0.0420563  0.25425285
 0.0251291  0.03085709 0.79225063 0.71003211 0.46774104 0.02992905
 0.24307337 0.03714575 0.42202738 0.81176221 0.89762354 0.87182313
 0.62999272 0.90562338 0.79498386 0.42210361 0.09548155 0.16643451
 0.10197086 0.21757179 0.69142306 0.91098702 0.03578959 0.29211348
 0.68512726 0.0788469  0.07075403 0.12507157 0.11443557 0.24538824
 0.17457817 0.60971546 0.36419713 0.90293008]","[0.27717644 0.07469448 0.25727978 0.70072556 0.9267267  0.01770799
 0.96729469 0.94820088 0.01414291 0.11184665 0.3722896  0.94906735
 0.69024175 0.93769401 0.01268047 0.02314689 0.03106945 0.07733306
 0.08673361 0.02318503 0.16545925 0.04856609 0.77933598 0.77545029
 0.51641142 0.71923381 0.02398261 0.02457795 0.02221051 0.08102193
 0.24436866 0.37343755 0.84984261 0.80382371 0.63292104 0.16887668
 0.01384121 0.00993474 0.01924205 0.04792303]"
12,16,2021-03-18,Luis de Guindos,Banking union: achievements and challenges,"Speech by Luis de Guindos, Vice-President of the ECB, at the High-level conference on “Strengthening the EU’s bank crisis management and deposit insurance framework: for a more resilient and efficient banking union” organised by the European Commission",0.1582460540812462,0.4717683296164562,0.3041152174118906,0.2818154810737863,0.5500156295796236,0.2765822165331278,0.1458691633306443,0.264785903215944,"[0.79941654 0.42602816 0.91945225 0.16998224 0.18622226 0.42961454
 0.04398462 0.01502351 0.05202463 0.1251256  0.31820002 0.16430824]","[0.18977524 0.56375986 0.07135774 0.81807411 0.78532594 0.5592317
 0.37217686 0.13206817 0.78992665 0.83958554 0.66167641 0.81722933]","[0.01080823 0.010212   0.00919004 0.01194366 0.02845186 0.01115377
 0.58383852 0.85290831 0.15804869 0.03528886 0.02012352 0.01846249]"
13,17,2021-03-18,Christine Lagarde,Hearing of the Committee on Economic and Monetary Affairs of the European Parliament ,"Introductory statement by Christine Lagarde, President of the ECB, at the Hearing of the ECON Committee of the European Parliament (by videoconference)",0.3969629421933657,0.5575448560392093,0.5478767479459444,0.3327934970255829,0.3012094654453297,0.2852902029479602,0.1509138057525787,0.2921846572164176,"[0.31181905 0.89287555 0.17614029 0.06209321 0.9305495  0.91806585
 0.93788612 0.93420452 0.04781437 0.16809529 0.15719177 0.15473646
 0.69870752 0.73344445 0.54856569 0.7387448  0.75387377 0.69697326]","[0.67167652 0.04931722 0.80086648 0.01384151 0.02011474 0.03221115
 0.02141882 0.03713518 0.06592579 0.82212806 0.82701951 0.30265069
 0.28180626 0.25801459 0.4436768  0.25272426 0.23487341 0.28636938]","[0.01650447 0.05780715 0.0229932  0.92406535 0.04933578 0.04972302
 0.04069514 0.02866039 0.88625985 0.00977671 0.01578871 0.54261291
 0.01948618 0.00854095 0.00775748 0.00853101 0.01125281 0.01665738]"
14,18,2021-03-03,Isabel Schnabel,From green neglect to green dominance?,"Intervention by Isabel Schnabel, Member of the Executive Board of the ECB, at the “Greening Monetary Policy – Central Banking and Climate Change” online seminar, organised as part of the “Cleveland Fed Conversations on Central Banking”",0.0086490290984511,0.3040779915110684,0.1267401868849992,0.128236827105356,0.7551686480641365,0.2339339993358086,0.1180911577865481,0.2390597977475412,"[0.08675862 0.0124901  0.14346473 0.12096556 0.19629848 0.0827223
 0.13037105 0.04200808 0.10371    0.03517307 0.05274094 0.039275
 0.06714405 0.15060221 0.02059213 0.15233058 0.03958844 0.13627589
 0.07247451 0.1538859  0.67510509 0.19739668 0.19144817 0.02613298
 0.23955013]","[0.85023457 0.11605475 0.80357677 0.86609644 0.75130397 0.87748688
 0.85713458 0.90764964 0.87712979 0.35086185 0.92886627 0.93622857
 0.88421035 0.82579833 0.9343968  0.82695299 0.94010842 0.85456026
 0.89377731 0.82152796 0.30898172 0.73017514 0.7975865  0.19136474
 0.74715161]","[0.06300686 0.87145513 0.05295846 0.01293804 0.0523975  0.03979075
 0.01249435 0.05034224 0.01916015 0.61396503 0.01839277 0.02449639
 0.04864565 0.02359944 0.04501103 0.02071643 0.02030315 0.00916389
 0.03374819 0.02458616 0.01591327 0.07242818 0.01096535 0.78250223
 0.01329831]"
15,19,2021-03-03,Fabio Panetta,Central clearing and the changing landscape,"Welcome address by Fabio Panetta, Member of the Executive Board of the ECB, at the Third Annual Joint Conference of the Deutsche Bundesbank, European Central Bank and Federal Reserve Bank of Chicago on CCP Risk Management",0.4114317306758542,0.439965315991957,0.4755830947603834,0.3301499094383212,0.4602655431157664,0.3128988624930129,0.0641513640845292,0.1916732293348886,"[0.55397719 0.6934585  0.39696094 0.91037387 0.91730708 0.25989053
 0.01258414 0.23949578 0.15021572 0.80026251 0.41292629 0.04420204
 0.24671681 0.05976636 0.04632973 0.78922147 0.86020428 0.90623266
 0.73595291]","[0.43388432 0.29059798 0.59145355 0.07677031 0.06156359 0.73041672
 0.11234459 0.74986786 0.82255679 0.19053945 0.5788849  0.91093212
 0.73142385 0.88905311 0.9005149  0.20118359 0.13216799 0.08548526
 0.25540444]","[0.01213847 0.01594355 0.01158549 0.01285589 0.02112935 0.0096928
 0.87507123 0.01063643 0.02722744 0.00919795 0.00818879 0.04486584
 0.02185934 0.05118055 0.05315534 0.009595   0.00762775 0.00828214
 0.00864257]"
16,20,2021-03-02,Fabio Panetta,Mind the gap(s): monetary policy and the way out of the pandemic,"Speech by Fabio Panetta, Member of the Executive Board of the ECB, at an online event organised by Bocconi University",0.0015944885372212,0.6251189438818319,0.3692737382864862,0.3165661097332735,0.2630470083518462,0.2290543267923074,0.3676792497492649,0.3484331884128281,"[0.41319758 0.24314474 0.03404861 0.93249714 0.93709308 0.17346239
 0.26888713 0.04645653 0.15051606 0.08624873 0.07042699 0.10220327
 0.50620896 0.21103589 0.01218898 0.48676443 0.12634312 0.60883641
 0.10763443 0.31216669 0.22521333 0.0600082  0.73547649 0.13532263
 0.02725195 0.39944017 0.93395615 0.68145096 0.94081485 0.83364433
 0.82727349 0.51793039 0.03888924]","[0.57012129 0.58068848 0.09028069 0.054979   0.04864122 0.75948513
 0.55920237 0.03593379 0.07761021 0.01674301 0.05806397 0.21325585
 0.15075281 0.73216373 0.02374855 0.09791644 0.13051449 0.37184405
 0.57346475 0.14045414 0.46509939 0.19395569 0.1009712  0.4811922
 0.03265646 0.53185713 0.05253944 0.26718739 0.04511844 0.15844211
 0.1546043  0.46899435 0.4420692 ]","[0.01668113 0.17616679 0.87567073 0.01252383 0.01426572 0.06705248
 0.17191057 0.91760969 0.77187371 0.89700818 0.87150902 0.68454081
 0.34303829 0.05680034 0.96406245 0.41531914 0.74314243 0.01931953
 0.31890079 0.54737926 0.30968729 0.74603605 0.16355228 0.38348526
 0.94009155 0.06870264 0.01350438 0.05136167 0.01406673 0.00791358
 0.01812215 0.01307525 0.51904154]"
17,21,2021-03-01,Christine Lagarde,The coronavirus crisis and SMEs,"Speech by Christine Lagarde, President of the ECB, at the “Jahresimpuls Mittelstand 2021” of Bundesverband Mittelständische Wirtschaft",0.0906350459246074,0.6051158564970783,0.3394845608512268,0.3146659608989616,0.4116659287144156,0.2998725375880597,0.2488495149266194,0.359207049846289,"[0.39063776 0.07437581 0.39255783 0.05367453 0.88783616 0.01351282
 0.05264886 0.33801916 0.04872701 0.56370956 0.13055301 0.88226563
 0.03022111 0.94529462 0.14246412 0.57276028 0.25197926]","[0.59653419 0.90608603 0.5943011  0.06537938 0.09376926 0.02485597
 0.23207431 0.63391697 0.64107817 0.41932786 0.81281084 0.10617492
 0.02398698 0.03840833 0.66555798 0.41073307 0.73332542]","[0.01282811 0.01953809 0.01314096 0.88094616 0.01839459 0.96163118
 0.71527684 0.02806388 0.31019485 0.01696258 0.05663617 0.01155944
 0.94579196 0.016297   0.19197792 0.01650671 0.0146953 ]"
18,22,2021-03-01,Luis de Guindos,Macroprudential policy after the COVID-19 pandemic,"Panel contribution by Luis de Guindos, Vice-President of the ECB, at the Banque de France / Sciences Po Financial Stability Review Conference 2021 “Is macroprudential policy resilient to the pandemic?”",0.284358193890916,0.3637980585426391,0.3673754880825678,0.2967510629742863,0.549607208929956,0.3059568171269665,0.0830172941916518,0.1578546920336416,"[0.73087168 0.52287889 0.88450533 0.04348159 0.40874347 0.66772127
 0.08246484 0.06305536 0.1346574  0.58990318 0.78961414 0.11493925
 0.40391156 0.06471383 0.75331211 0.09190256 0.03956896 0.22651337]","[0.24120162 0.44871727 0.10271323 0.33195528 0.57701606 0.31532681
 0.8165834  0.9098466  0.72062624 0.02717255 0.19786945 0.87141424
 0.58746541 0.91352779 0.2378352  0.89280981 0.94152266 0.75932616]","[0.02792669 0.02840383 0.01278142 0.62456316 0.01424048 0.01695184
 0.10095169 0.02709811 0.14471638 0.38292432 0.01251635 0.01364653
 0.00862298 0.0217584  0.00885263 0.01528765 0.01890838 0.01416046]"
19,23,2021-02-26,Isabel Schnabel,Unconventional fiscal and monetary policy at the zero lower bound,"Keynote speech by Isabel Schnabel, Member of the Executive Board of the ECB, at the Third Annual Conference organised by the European Fiscal Board on “High Debt, Low Rates and Tail Events: Rules-Based Fiscal Frameworks under Stress”",-0.0864584596658294,0.4926808382159841,0.2295804602009329,0.2388365083724318,0.4543806277638809,0.3009467293230877,0.3160389198667623,0.3310721882700256,"[0.09302532 0.03411935 0.19011675 0.22308993 0.1113647  0.01481543
 0.20973945 0.07163725 0.11943228 0.15787627 0.25361419 0.07375111
 0.13772571 0.03341631 0.05323225 0.04317963 0.01856603 0.80938017
 0.48850429 0.76173526 0.07910112 0.13091807 0.79482675 0.04245139
 0.51740396 0.23871644 0.04990051 0.04734551 0.02458849 0.64717996
 0.30389872 0.15375169 0.01437163 0.14142317 0.14796935 0.85551941
 0.46008265 0.59894419 0.26002213 0.29264259 0.14732079 0.09854952
 0.06473868 0.09155186]","[0.29204291 0.02785494 0.33642888 0.09288866 0.05248914 0.06276622
 0.24990328 0.56888521 0.23169303 0.80748934 0.30355895 0.22794892
 0.53015459 0.05969702 0.3353335  0.27334985 0.03720035 0.17803673
 0.4927699  0.04080744 0.87049234 0.81574535 0.19387746 0.91974217
 0.36318973 0.73515081 0.84806192 0.91980451 0.33597848 0.34283304
 0.67558771 0.81077975 0.02892334 0.65155149 0.67732495 0.13245425
 0.36519372 0.32374713 0.71100539 0.6910283  0.83102739 0.80308092
 0.88391334 0.8609553 ]","[0.61493176 0.93802571 0.47345433 0.68402141 0.83614606 0.92241836
 0.54035729 0.35947761 0.6488747  0.03463434 0.4428269  0.6983
 0.33211973 0.90688676 0.61143428 0.68347055 0.94423372 0.01258312
 0.01872585 0.19745724 0.05040655 0.05333657 0.0112958  0.03780645
 0.11940638 0.0261328  0.10203759 0.03284999 0.63943303 0.00998701
 0.02051352 0.03546854 0.95670503 0.2070253  0.17470565 0.01202635
 0.1747236  0.07730867 0.0289725  0.01632916 0.02165188 0.09836959
 0.051348   0.04749279]"
