,year,quarter,mean,std
0,1997,1,0.09081568690327287,0.5527183549754521
1,1997,2,0.18053741677046894,0.37794618160297466
2,1997,3,0.2761697462865497,0.3517336983339169
3,1997,4,0.2056511046963568,0.45064550135885845
4,1998,1,0.19934488343221934,0.45483134108092993
5,1998,2,0.2929513251219512,0.3693653526483564
6,1998,3,0.2782719559113759,0.3687167086555668
7,1998,4,0.18484840664437047,0.4561557374753685
8,1999,1,0.16146774113513143,0.496738729560989
9,1999,2,0.181357935322239,0.45547237968105025
10,1999,3,0.26115421482482765,0.45970758237853887
11,1999,4,0.22634776007696064,0.45227803095439284
12,2000,1,0.24375612763338386,0.4934019485565289
13,2000,2,0.2235608259150857,0.4703525211125367
14,2000,3,0.19639862712909964,0.4525563283838984
15,2000,4,0.2506927039352211,0.43804114379121784
16,2001,1,0.24780193560003586,0.46332103722560664
17,2001,2,0.20434203896637917,0.4582810679133002
18,2001,3,0.20517001929807058,0.4138946406530663
19,2001,4,0.23463155073424227,0.4516340225267037
20,2002,1,0.18607768616821624,0.4967907686933847
21,2002,2,0.17365227873495742,0.465209946050407
22,2002,3,0.11962347798159206,0.48152267464388215
23,2002,4,0.1766709063235433,0.4837919216114715
24,2003,1,0.15898991863471512,0.48571220722786873
25,2003,2,0.18623132847961058,0.4908018849811515
26,2003,3,0.19846261016121983,0.4782813012587198
27,2003,4,0.20150292928594982,0.44694133710964223
28,2004,1,0.3122431788917831,0.45614910265046643
29,2004,2,0.2221151482326609,0.4825152437441627
30,2004,3,0.21060083539424385,0.4592211995414429
31,2004,4,0.22110480596592708,0.4857435228183215
32,2005,1,0.27798861261616065,0.4909693683483569
33,2005,2,0.19883326664128004,0.5038267253418466
34,2005,3,0.21656362592925196,0.507800795011314
35,2005,4,0.19356076705048592,0.4811511708093902
36,2006,1,0.20262370200102361,0.4894983440710565
37,2006,2,0.20014982127107264,0.4820889983306776
38,2006,3,0.18559214375560068,0.4878610125865699
39,2006,4,0.22419737347213045,0.4620583616620882
40,2007,1,0.2508135701655405,0.4836941011580527
41,2007,2,0.2270605063907514,0.46742972376867814
42,2007,3,0.20875710740042266,0.46907695590663806
43,2007,4,0.17373949326806895,0.5318567473432706
44,2008,1,0.2087893640214945,0.48308715314947054
45,2008,2,0.22319998746138597,0.4925156461110472
46,2008,3,0.21063301003554646,0.49741597219781963
47,2008,4,0.12388975859823036,0.5365552434346513
48,2009,1,0.11094740460553454,0.5207202264877953
49,2009,2,0.11625021446399528,0.5318070082608751
50,2009,3,0.187386184741034,0.4790020152841657
51,2009,4,0.15191739709021607,0.5151570872470141
52,2010,1,0.12633951669558077,0.5014419005707967
53,2010,2,0.1345815621223679,0.5045088567870285
54,2010,3,0.1962911306834648,0.47899157427591055
55,2010,4,0.17375512683701205,0.4862058652110677
56,2011,1,0.12669162739869871,0.48210377251654496
57,2011,2,0.14632595602495457,0.49901229396236896
58,2011,3,0.14426861892784779,0.43562529996050164
59,2011,4,0.1040799723923043,0.5250081040907758
60,2012,1,0.08302260299497295,0.5650228683193814
61,2012,2,0.13008394177797075,0.5391263989831094
62,2012,3,0.13316781033290181,0.4907106471158289
63,2012,4,0.1090674413999095,0.5272529141129699
64,2013,1,0.167807706398885,0.5100214726984357
65,2013,2,0.09455192215193493,0.5427470200884443
66,2013,3,0.13293729173320154,0.5157652933445083
67,2013,4,0.12314702212533717,0.5407774092246104
68,2014,1,0.1823207603866702,0.5366974298869295
69,2014,2,0.1222539071852712,0.5243387760903204
70,2014,3,0.1151167296160418,0.5561904130443445
71,2014,4,0.13333668228123177,0.5390527428423738
72,2015,1,0.15470114987533856,0.5054312699730117
73,2015,2,0.15549537770331068,0.5492681425223467
74,2015,3,0.1631993085688479,0.5259047383985099
75,2015,4,0.14284368629686214,0.5045374425745027
76,2016,1,0.12779720430437083,0.5044385091541609
77,2016,2,0.1331608238015785,0.5258427246055091
78,2016,3,0.08860565990874814,0.5328298139518847
79,2016,4,0.1584327419899574,0.5920963052357253
80,2017,1,0.09326152482181664,0.5347460790220635
81,2017,2,0.16929548803736835,0.5229266227545567
82,2017,3,0.13914520256011065,0.5199486866126006
83,2017,4,0.11806753474334632,0.5433987430037187
84,2018,1,0.13577816747160404,0.5077965903313238
85,2018,2,0.10413430145145063,0.5491527468044786
86,2018,3,0.1765284171900203,0.5458484004107551
87,2018,4,0.1772929533495445,0.5481886050056104
88,2019,1,0.1692772608094087,0.5368583478357778
89,2019,2,0.21068931001739105,0.5714419109185621
90,2019,3,0.10319637771447454,0.5461825457739578
91,2019,4,0.08829790896638737,0.5161835758872585
92,2020,1,0.14066574557719913,0.558972052402704
93,2020,2,0.14844311775294164,0.604858629771797
94,2020,3,0.11201249617591776,0.5677884238523865
95,2020,4,0.11002756922472966,0.5835180617036492
96,2021,1,0.18863073749797493,0.5413739334621481
97,2021,2,0.1826657417460789,0.5222515096863845
98,2021,3,,
99,2021,4,,
